page,productranking,price,name,rating,numofratings,prime,bestseller,amazonchoice
4,48,$7.99,"Wired Earbuds with Microphone and Volume Control - in Ear Headphones Wired Ear Buds - Earphones with Microphone Mic Extra Bass - Compatible with Apple iPhone Ipad Samsung Galaxy Sony 3.5mm,EV4",5.0 out of 5 stars,12,1,0,0
4,50,$23.99,"Bluetooth Headphones, Wireless Earbuds,Bluetooth 5.0 Wireless 3D Stereo Noise Reduction Fitness Earbuds Earphone for iOS, Android with Microphone,Magnetic Charging case,D3",5.0 out of 5 stars,10,1,0,0
4,51,$86.50,Sennheiser HD 4.40 Around Ear Bluetooth Wireless Headphones (HD 4.40 BT),4.0 out of 5 stars,848,1,0,0
4,52,$25.99,"Bluetooth Headphones Wireless,MKay Over Ear Headset V5.0 with Microphone, Foldable & Lightweight, Support Tf Card MP3 Mode and Fm Radio for Cellphones Laptop TV-Rose Gold",4.6 out of 5 stars,"1,378",1,0,0
4,54,$8.98,Earphones/Earbuds/Headphones 2Pack Black Compatible with iPhone/Galaxy S10/S10+/S10e S9/S9+ S8/S8+ Note8 / Android in-Ear Headphones Remote + Mic Hands- Free Earphones,4.7 out of 5 stars,244,1,0,0
4,55,$12.99,"RockPapa On Ear Stereo Headphones Earphones for Adults Kids Childs Teens, Adjustable, Heavy Deep Bass for iPhone iPod iPad MacBook Surface MP3 DVD Smartphones Laptop (Black/Green)",4.1 out of 5 stars,707,1,0,0
4,56,$49.99,"Mpow H5 Active Noise Cancelling Headphones, Superior Deep Bass Bluetooth Headphones Over Ear, 30Hrs Playtime ANC Wireless Headphones with Mic, Soft Protein Earpads, for TV/PC/Cellphone/Travel/Work",4.3 out of 5 stars,"3,348",1,0,0
4,57,$69.00,"Audio-Technica ATH-M30x Professional Studio Monitor Headphones, Black",4.3 out of 5 stars,"1,433",1,0,0
4,58,$34.99,"Wireless Earbuds Bluetooth 5.0 Headphones, True Wireless Stereo Earphones, Hi-fi Sound Bluetooth Headset with Charging Case, One-Step Pairing White",4.5 out of 5 stars,424,1,0,0
4,59,$34.95,"[Upgraded 2020] Sport Bluetooth Headphones w/12+ Hours Battery - Professional Wireless Sport Earphones w/Mic - IPX7 Waterproof Deep Bass Music in-Ear Earbuds for Gym Running Workout for Men, Women",4.3 out of 5 stars,"4,676",1,0,0
5,60,$17.00,"Tascam TH-02 Closed Back Studio Headphones, Black",3.9 out of 5 stars,982,1,0,0
5,61,$89.99,"Boltune Noise Cancelling Headphones, [2019 Upgraded] Bluetooth Headphones with Microphone/Deep Bass Wireless Headphones Over-Ear, Protein Earpads 30H Playtime for Travel Work TV PC Cellphone",4.9 out of 5 stars,259,1,0,0
5,62,$159.00,"Bose QuietComfort 25 Acoustic Noise Cancelling Headphones for Apple devices - Black, Wired",4.3 out of 5 stars,34,0,0,0
5,63,$27.99,"Boltune Wireless Headphones, Bluetooth 5.0 IPX7 Waterproof 16 Hours Playtime Bluetooth Headphones, with Magnetic Connection, Sports Earphones for Running Built-in Mic",4.4 out of 5 stars,"2,233",1,0,0
5,64,$59.99,"Active Noise Cancelling Headphones,Utaxo Bluetooth Headphones Over Ear with Mic Hi-Fi Sound Deep Bass Foldable Wireless Headset,Quick Charge 30H Playtime for Cellphone PC TV Travel",4.6 out of 5 stars,976,1,0,0
