category,price,name,rating,numofratings
Audio Headphones,$20.98,Apple EarPods with Lightning Connector - White,4.0 out of 5 stars,"1,512"
Over-Ear Headphones,$34.99,"Mpow 059 Bluetooth Headphones Over Ear, Hi-Fi Stereo Wireless Headset, Foldable, Soft Memory-Protein Earmuffs, w/Built-in Mic Wired Mode PC/Cell Phones/TV",4.4 out of 5 stars,"22,914"
Over-Ear Headphones,$41.99,"COWIN E7 Active Noise Cancelling Headphones Bluetooth Headphones with Mic Deep Bass Wireless Headphones Over Ear, Comfortable Protein Earpads, 30H Playtime for Travel Work TV PC Cellphone - Black",4.3 out of 5 stars,"11,293"
Over-Ear Headphones,$19.98,AILIHEN C8 Headphones with Microphone and Volume Control Folding Lightweight Headset for Cellphones Tablets Smartphones Laptop Computer PC Mp3/4 (Grey/Mint),4.0 out of 5 stars,"4,591"
Over-Ear Headphones,$14.99,Elecder i39 Headphones with Microphone Foldable Lightweight Adjustable On Ear Headsets with 3.5mm Jack for iPad Cellphones Computer MP3/4 Kindle Airplane School (Mint/Gray),4.3 out of 5 stars,470
Over-Ear Headphones,$32.99,"OneOdio Adapter-Free Closed Back Over-Ear DJ Stereo Monitor Headphones, Professional Studio Monitor & Mixing, Telescopic Arms with Scale, Newest 50mm Neodymium Drivers - Black",4.3 out of 5 stars,"1,834"
Over-Ear Headphones,$349.00,"Bose QuietComfort 35 II Wireless Bluetooth Headphones, Noise-Cancelling, with Alexa voice control, enabled with Bose AR – Black",4.4 out of 5 stars,"3,072"
Over-Ear Headphones,$32.99,Picun P26 Bluetooth Headphones Over Ear 40H Playtime Hi-Fi Stereo Wireless Headphones Girl Deep Bass Foldable Wired/Wireless/TF for Phone/TV Bluetooth 5.0 Wireless Earphones with Mic Women (Rose Gold),4.4 out of 5 stars,724
Over-Ear Headphones,$59.99,"Active Noise Cancelling Headphones, Boltune Bluetooth 5.0 Over Ear Wireless Headphones with Mic Deep Bass, Comfortable Protein Earpads 30H Playtime for Travel Work TV PC Cellphone",4.5 out of 5 stars,605
Over-Ear Headphones,$0.00,Sony MDRZX110/BLK ZX Series Stereo Headphones (Black),4.0 out of 5 stars,"4,855"
